[PRINT_WORDLEVEL_TIME]<00:00.1> Ah</00:00.1>
<00:00.2> oui,</00:00.4>
<00:00.4> mes</00:00.5>
<00:00.6> parents</00:00.8>
<00:00.9> ils</00:00.9>
<00:00.9> meuraient</00:01.3>
<00:01.4> au</00:01.4>
<00:01.8> 38.</00:02.6>
<00:03.1> Moi</00:03.2>
<00:03.3> mes</00:03.4>
<00:03.5> parents,</00:03.9>
<00:04.4> je</00:04.4>
<00:04.5> demeurais</00:04.8>
<00:04.9> juste</00:05.0>
<00:05.0> à</00:05.1>
<00:05.1> côté</00:05.3>
<00:05.3> de</00:05.3>
<00:05.4> mes</00:05.4>
<00:05.5> parents</00:05.7>
<00:05.7> au</00:05.8>
<00:05.8> début</00:05.9>
<00:05.9> j'étais</00:06.2>
<00:06.3> marié.</00:06.7>
<00:07.1> D'accord.</00:07.6>
<00:09.2> Après</00:09.4>
<00:09.5> bon,</00:09.9>
<00:11.9> comment</00:12.1>
<00:12.1> ça</00:12.2>
<00:12.2> s'appelle,</00:12.5>
<00:12.9> après</00:13.1>
<00:13.1> mes</00:13.2>
<00:13.2> parents</00:13.5>
<00:13.5> sont</00:13.7>
<00:13.7> décédés.</00:14.2>
<00:14.5> Oui</00:14.6>
<00:14.7> bien</00:14.9>
<00:14.9> sûr.</00:15.2>
<00:16.6> Moi</00:16.7>
<00:16.8> j'ai</00:16.9>
<00:16.9> toujours</00:17.1>
<00:17.2> resté</00:17.5>
<00:17.5> dans</00:17.7>
<00:19.0> mon</00:19.1>
<00:19.1> territoire.</00:19.8>
<00:20.6> Et</00:20.7>
<00:20.8> eux,</00:20.9>
<00:21.8> ils</00:21.8>
<00:21.9> travaillaient?</00:22.5>
<00:22.9> Non,</00:23.0>
<00:23.0> il</00:23.0>
<00:23.1> n'y</00:23.1>
<00:23.2> avait</00:23.3>
<00:23.3> pas</00:23.4>
<00:23.4> de</00:23.5>
<00:23.5> travail?</00:23.9>
<00:25.2> C'est-à-dire</00:25.7>
<00:25.7> que</00:25.8>
<00:25.8> mon</00:25.9>
<00:25.9> père</00:26.1>
<00:26.4> était</00:26.6>
<00:26.7> marchand</00:26.9>
<00:26.9> en</00:27.0>
<00:27.0> peau</00:27.1>
<00:27.1> de</00:27.2>
<00:27.2> lapin.</00:27.6>
<00:28.2> Il</00:28.3>
<00:28.3> ramassait</00:28.7>
<00:28.7> les</00:28.9>
<00:28.9> pots</00:29.0>
<00:29.0> de</00:29.1>
<00:29.1> lapin,</00:29.4>
<00:29.4> il</00:29.5>
<00:29.5> ramassait</00:29.9>
<00:30.0> les</00:30.1>
<00:30.2> chiffons,</00:30.9>
<00:31.0> il</00:31.1>
<00:31.1> ramassait</00:31.6>
<00:33.0> les</00:33.2>
<00:33.2> journaux,</00:33.9>
<00:34.0> tout</00:34.1>
<00:34.2> ça.</00:34.5>
<00:35.3> Il</00:35.4>
<00:35.5> faisait,</00:35.9>
<00:36.2> comment</00:36.4>
<00:36.5> ça</00:36.5>
<00:36.6> s'appelle?</00:36.9>
<00:38.4> Et</00:38.6>
<00:39.1> je</00:39.1>
<00:39.1> ne</00:39.2>
<00:39.2> sais</00:39.3>
<00:39.3> pas</00:39.4>
<00:39.4> comment</00:39.6>
<00:39.6> on</00:39.6>
<00:39.7> dit,</00:40.0>
<00:40.6> il</00:40.7>
<00:40.8> avait</00:40.9>
<00:41.0> un</00:41.0>
<00:41.1> appareil</00:41.5>
<00:41.5> pour</00:41.7>
<00:41.9> les</00:42.0>
<00:42.1> couteaux</00:42.4>
<00:42.5> et</00:42.5>
<00:42.6> les</00:42.7>
<00:42.8> guisers.</00:43.1>
<00:43.3> Ah</00:43.4>
<00:43.5> ouais,</00:43.6>
<00:43.7> ouais,</00:43.9>
<00:43.9> ouais,</00:44.1>
<00:44.1> les</00:44.1>
<00:44.2> guiseurs,</00:44.5>
<00:44.5> je</00:44.6>
<00:44.6> ne</00:44.6>
<00:44.7> sais</00:44.7>
<00:44.8> pas</00:44.8>
<00:44.8> comment,</00:45.4>
<00:45.5> les</00:45.5>
<00:45.6> rémouleurs.</00:46.0>
<00:46.2> Ouais,</00:46.4>
<00:46.4> les</00:46.5>
<00:46.5> rémouleurs.</00:47.1>
<00:47.2> Voilà,</00:47.4>
<00:47.5> c'est</00:47.6>
<00:47.6> ça.</00:47.7>
<00:47.8> Il</00:47.8>
<00:47.8> a</00:47.8>
<00:47.9> répété</00:48.2>
<00:48.3> ça.</00:48.5>
<00:48.6> Mais</00:48.7>
<00:48.8> en</00:48.8>
<00:48.9> plus,</00:49.2>
<00:49.4> moi</00:49.5>
<00:52.1> du</00:52.2>
<00:52.3> côté</00:52.5>
<00:52.6> de</00:52.6>
<00:52.6> mon</00:52.8>
<00:52.9> père,</00:53.2>
<00:53.2> mon</00:53.3>
<00:53.3> grand-père</00:53.7>
<00:53.7> était</00:53.9>
<00:53.9> voyageur.</00:54.4>
<00:54.6> C'était</00:54.9>
<00:54.9> un</00:55.1>
<00:55.1> manouche</00:55.4>
<00:55.4> du</00:55.5>
<00:55.5> côté</00:55.7>
<00:55.7> de</00:55.8>
<00:55.8> mon</00:55.9>
<00:55.9> père.</00:56.1>
<00:56.1> Ah</00:56.2>
<00:56.3> ouais?</00:56.4>
<00:56.9> Mais</00:57.0>
<00:57.0> du</00:57.1>
<00:57.1> côté</00:57.3>
<00:57.3> de</00:57.4>
<00:57.4> ma</00:57.5>
<00:57.5> mère,</00:57.7>
<00:57.8> non.</00:57.9>
<00:58.2> Non.</00:58.4>
<00:58.9> Non,</00:59.0>
<00:59.0> côté</00:59.2>
<00:59.3> ma</00:59.4>
<00:59.4> mère,</00:59.6>
<00:59.6> c'est...</00:60.0>
<01:00.6> Et</01:00.7>
<01:00.7> il</01:00.8>
<01:00.8> avait</01:00.9>
