[PRINT_WORDLEVEL_TIME]<00:01.0> Ils</00:01.1>
<00:01.1> sont</00:01.2>
<00:01.3> arrivés</00:01.5>
<00:01.5> à</00:01.6>
<00:01.6> Toulouse,</00:01.9>
<00:01.9> ils</00:02.0>
<00:02.0> n'en</00:02.1>
<00:02.1> ont</00:02.2>
<00:02.2> plus</00:02.3>
<00:02.4> jamais</00:02.6>
<00:03.5> rebougé.</00:04.2>
<00:04.3> D'accord.</00:04.7>
<00:05.0> Et</00:05.1>
<00:05.6> ils</00:05.7>
<00:05.7> faisaient</00:05.9>
<00:05.9> quoi</00:06.0>
<00:06.5> en</00:06.6>
<00:06.7> Algérie</00:07.1>
<00:07.1> en</00:07.2>
<00:07.2> fait?</00:07.5>
<00:07.5> Ils</00:08.0>
<00:08.1> étaient</00:08.3>
<00:09.4> propriétaires?</00:10.1>
<00:10.2> Oui,</00:10.3>
<00:11.4> ils</00:11.5>
<00:11.5> étaient</00:11.6>
<00:11.7> propriétaires,</00:12.1>
<00:12.2> ils</00:12.2>
<00:12.2> étaient</00:12.4>
<00:12.5> tenanciers</00:13.1>
<00:14.1> de</00:14.2>
<00:14.6> bars,</00:14.7>
<00:14.7> restaurants</00:15.2>
<00:15.3> qu'on</00:15.4>
<00:15.5> va</00:15.5>
<00:15.6> dire.</00:15.9>
<00:16.2> À</00:16.2>
<00:16.3> Alger</00:16.6>
<00:16.6> même?</00:16.9>
<00:17.3> Oui,</00:17.4>
<00:17.4> à</00:17.4>
<00:17.5> Alger,</00:17.7>
<00:17.8> oui.</00:17.9>
<00:18.7> D'accord.</00:19.1>
<00:19.9> Et</00:20.0>
<00:20.1> votre</00:20.3>
<00:20.3> mère,</00:20.4>
<00:20.5> elle</00:20.6>
<00:20.6> arrive</00:20.8>
<00:20.9> à</00:20.9>
<00:20.9> quel</00:21.1>
<00:21.1> âge</00:21.2>
<00:21.3> ici?</00:21.9>
<00:22.0> Est-ce</00:22.2>
<00:22.2> que</00:22.3>
<00:22.3> vous</00:22.4>
<00:22.4> savez</00:22.6>
<00:22.6> à</00:22.7>
<00:22.7> peu</00:22.8>
<00:22.8> près?</00:23.1>
<00:24.3> 4-5</00:24.5>
<00:24.7> ans.</00:24.9>
<00:25.5> Enfin,</00:25.8>
<00:26.3> très</00:26.4>
<00:26.4> très</00:26.5>
<00:26.6> très</00:26.7>
<00:26.8> jeune,</00:27.0>
<00:27.0> quoi.</00:27.2>
<00:27.4> Très</00:27.6>
<00:27.6> très</00:27.7>
<00:27.8> jeune.</00:28.0>
<00:28.3> Donc,</00:28.4>
